sharpe_ratio,total_trades,win_rate,cagr,max_drawdown,initial_capital,max_capital_used,additional_capital_required,final_capital,realized_pnl,avg_capital_utilization,max_concurrent_trades,macd.fast_period,macd.slow_period,macd.signal_period,support_resistance.support_period,support_resistance.resistance_period,atr.window,ema.period,bollinger_bands.length,bollinger_bands.std,rsi.length,rsi.oversold,rsi.overbought,risk_management.stop_loss_atr_multiplier,risk_management.take_profit_atr_multiplier
10.0,2,100.0,4.391348440991538,0.0,10000.0,10000.0,0.0,10578.549053270077,578.5490532700765,0.0,1,8,21,7,10,10,10,15,30,2.0,20,25,70,2.5,3.0
10.0,2,100.0,3.7915942002084257,0.0,10000.0,10000.0,0.0,10475.574211058398,475.5742110583974,0.0,1,8,21,7,10,10,10,15,30,2.0,20,25,75,2.5,2.5
10.0,2,100.0,4.391348440991538,0.0,10000.0,10000.0,0.0,10578.549053270077,578.5490532700765,0.0,1,8,21,7,10,10,10,15,30,2.0,20,25,75,2.5,3.0
10.0,2,100.0,3.7915942002084257,0.0,10000.0,10000.0,0.0,10475.574211058398,475.5742110583974,0.0,1,8,21,7,10,10,10,15,30,2.2,20,25,65,2.5,2.5
10.0,2,100.0,4.391348440991538,0.0,10000.0,10000.0,0.0,10578.549053270077,578.5490532700765,0.0,1,8,21,7,10,10,10,15,30,2.2,20,25,65,2.5,3.0
10.0,2,100.0,3.7915942002084257,0.0,10000.0,10000.0,0.0,10475.574211058398,475.5742110583974,0.0,1,8,21,7,10,10,10,15,30,2.2,20,25,70,2.5,2.5
10.0,2,100.0,4.391348440991538,0.0,10000.0,10000.0,0.0,10578.549053270077,578.5490532700765,0.0,1,8,21,7,10,10,10,15,30,2.2,20,25,70,2.5,3.0
10.0,2,100.0,3.7915942002084257,0.0,10000.0,10000.0,0.0,10475.574211058398,475.5742110583974,0.0,1,8,21,7,10,10,10,15,30,2.2,20,25,75,2.5,2.5
10.0,2,100.0,4.391348440991538,0.0,10000.0,10000.0,0.0,10578.549053270077,578.5490532700765,0.0,1,8,21,7,10,10,10,15,30,2.2,20,25,75,2.5,3.0
10.0,2,100.0,3.7915942002084257,0.0,10000.0,10000.0,0.0,10475.574211058398,475.5742110583974,0.0,1,8,21,7,10,10,10,15,40,1.8,20,25,65,2.5,2.5
10.0,2,100.0,4.391348440991538,0.0,10000.0,10000.0,0.0,10578.549053270077,578.5490532700765,0.0,1,8,21,7,10,10,10,15,40,1.8,20,25,65,2.5,3.0
10.0,2,100.0,3.7915942002084257,0.0,10000.0,10000.0,0.0,10475.574211058398,475.5742110583974,0.0,1,8,21,7,10,10,10,15,40,1.8,20,25,70,2.5,2.5
10.0,2,100.0,4.391348440991538,0.0,10000.0,10000.0,0.0,10578.549053270077,578.5490532700765,0.0,1,8,21,7,10,10,10,15,40,1.8,20,25,70,2.5,3.0
10.0,2,100.0,3.7915942002084257,0.0,10000.0,10000.0,0.0,10475.574211058398,475.5742110583974,0.0,1,8,21,7,10,10,10,15,40,1.8,20,25,75,2.5,2.5
10.0,2,100.0,4.391348440991538,0.0,10000.0,10000.0,0.0,10578.549053270077,578.5490532700765,0.0,1,8,21,7,10,10,10,15,40,1.8,20,25,75,2.5,3.0
10.0,2,100.0,3.7915942002084257,0.0,10000.0,10000.0,0.0,10475.574211058398,475.5742110583974,0.0,1,8,21,7,10,10,10,15,40,2.0,20,25,65,2.5,2.5
10.0,2,100.0,4.391348440991538,0.0,10000.0,10000.0,0.0,10578.549053270077,578.5490532700765,0.0,1,8,21,7,10,10,10,15,40,2.0,20,25,65,2.5,3.0
10.0,2,100.0,3.7915942002084257,0.0,10000.0,10000.0,0.0,10475.574211058398,475.5742110583974,0.0,1,8,21,7,10,10,10,15,40,2.0,20,25,70,2.5,2.5
10.0,2,100.0,4.391348440991538,0.0,10000.0,10000.0,0.0,10578.549053270077,578.5490532700765,0.0,1,8,21,7,10,10,10,15,40,2.0,20,25,70,2.5,3.0
10.0,2,100.0,3.7915942002084257,0.0,10000.0,10000.0,0.0,10475.574211058398,475.5742110583974,0.0,1,8,21,7,10,10,10,15,40,2.0,20,25,75,2.5,2.5
10.0,2,100.0,4.391348440991538,0.0,10000.0,10000.0,0.0,10578.549053270077,578.5490532700765,0.0,1,8,21,7,10,10,10,15,40,2.0,20,25,75,2.5,3.0
10.0,2,100.0,3.7915942002084257,0.0,10000.0,10000.0,0.0,10475.574211058398,475.5742110583974,0.0,1,8,21,7,10,10,10,20,20,1.8,20,25,65,2.5,2.5
10.0,2,100.0,4.391348440991538,0.0,10000.0,10000.0,0.0,10578.549053270077,578.5490532700765,0.0,1,8,21,7,10,10,10,20,20,1.8,20,25,65,2.5,3.0
10.0,2,100.0,3.7915942002084257,0.0,10000.0,10000.0,0.0,10475.574211058398,475.5742110583974,0.0,1,8,21,7,10,10,10,20,20,1.8,20,25,70,2.5,2.5
10.0,2,100.0,4.391348440991538,0.0,10000.0,10000.0,0.0,10578.549053270077,578.5490532700765,0.0,1,8,21,7,10,10,10,20,20,1.8,20,25,70,2.5,3.0
10.0,2,100.0,3.7915942002084257,0.0,10000.0,10000.0,0.0,10475.574211058398,475.5742110583974,0.0,1,8,21,7,10,10,10,20,20,1.8,20,25,75,2.5,2.5
10.0,2,100.0,4.391348440991538,0.0,10000.0,10000.0,0.0,10578.549053270077,578.5490532700765,0.0,1,8,21,7,10,10,10,20,20,1.8,20,25,75,2.5,3.0
10.0,2,100.0,3.7915942002084257,0.0,10000.0,10000.0,0.0,10475.574211058398,475.5742110583974,0.0,1,8,21,7,10,10,10,20,20,2.0,20,25,65,2.5,2.5
10.0,2,100.0,4.391348440991538,0.0,10000.0,10000.0,0.0,10578.549053270077,578.5490532700765,0.0,1,8,21,7,10,10,10,20,20,2.0,20,25,65,2.5,3.0
10.0,2,100.0,3.7915942002084257,0.0,10000.0,10000.0,0.0,10475.574211058398,475.5742110583974,0.0,1,8,21,7,10,10,10,20,20,2.0,20,25,70,2.5,2.5
10.0,2,100.0,4.391348440991538,0.0,10000.0,10000.0,0.0,10578.549053270077,578.5490532700765,0.0,1,8,21,7,10,10,10,20,20,2.0,20,25,70,2.5,3.0
10.0,2,100.0,3.7915942002084257,0.0,10000.0,10000.0,0.0,10475.574211058398,475.5742110583974,0.0,1,8,21,7,10,10,10,20,20,2.0,20,25,75,2.5,2.5
10.0,2,100.0,4.391348440991538,0.0,10000.0,10000.0,0.0,10578.549053270077,578.5490532700765,0.0,1,8,21,7,10,10,10,20,20,2.0,20,25,75,2.5,3.0
10.0,2,100.0,3.7915942002084257,0.0,10000.0,10000.0,0.0,10475.574211058398,475.5742110583974,0.0,1,8,21,7,10,10,10,20,20,2.2,20,25,65,2.5,2.5
10.0,2,100.0,4.391348440991538,0.0,10000.0,10000.0,0.0,10578.549053270077,578.5490532700765,0.0,1,8,21,7,10,10,10,20,20,2.2,20,25,65,2.5,3.0
10.0,2,100.0,3.7915942002084257,0.0,10000.0,10000.0,0.0,10475.574211058398,475.5742110583974,0.0,1,8,21,7,10,10,10,20,20,2.2,20,25,70,2.5,2.5
10.0,2,100.0,4.391348440991538,0.0,10000.0,10000.0,0.0,10578.549053270077,578.5490532700765,0.0,1,8,21,7,10,10,10,20,20,2.2,20,25,70,2.5,3.0
10.0,2,100.0,3.7915942002084257,0.0,10000.0,10000.0,0.0,10475.574211058398,475.5742110583974,0.0,1,8,21,7,10,10,10,20,20,2.2,20,25,75,2.5,2.5
10.0,2,100.0,4.391348440991538,0.0,10000.0,10000.0,0.0,10578.549053270077,578.5490532700765,0.0,1,8,21,7,10,10,10,20,20,2.2,20,25,75,2.5,3.0
10.0,2,100.0,3.7915942002084257,0.0,10000.0,10000.0,0.0,10475.574211058398,475.5742110583974,0.0,1,8,21,7,10,10,10,20,30,1.8,20,25,65,2.5,2.5
10.0,2,100.0,4.391348440991538,0.0,10000.0,10000.0,0.0,10578.549053270077,578.5490532700765,0.0,1,8,21,7,10,10,10,20,30,1.8,20,25,65,2.5,3.0
10.0,2,100.0,3.7915942002084257,0.0,10000.0,10000.0,0.0,10475.574211058398,475.5742110583974,0.0,1,8,21,7,10,10,10,20,30,1.8,20,25,70,2.5,2.5
10.0,2,100.0,4.391348440991538,0.0,10000.0,10000.0,0.0,10578.549053270077,578.5490532700765,0.0,1,8,21,7,10,10,10,20,30,1.8,20,25,70,2.5,3.0
10.0,2,100.0,3.7915942002084257,0.0,10000.0,10000.0,0.0,10475.574211058398,475.5742110583974,0.0,1,8,21,7,10,10,10,20,30,1.8,20,25,75,2.5,2.5
10.0,2,100.0,4.391348440991538,0.0,10000.0,10000.0,0.0,10578.549053270077,578.5490532700765,0.0,1,8,21,7,10,10,10,20,30,1.8,20,25,75,2.5,3.0
10.0,2,100.0,3.7915942002084257,0.0,10000.0,10000.0,0.0,10475.574211058398,475.5742110583974,0.0,1,8,21,7,10,10,10,20,30,2.0,20,25,65,2.5,2.5
10.0,2,100.0,4.391348440991538,0.0,10000.0,10000.0,0.0,10578.549053270077,578.5490532700765,0.0,1,8,21,7,10,10,10,20,30,2.0,20,25,65,2.5,3.0
10.0,2,100.0,3.7915942002084257,0.0,10000.0,10000.0,0.0,10475.574211058398,475.5742110583974,0.0,1,8,21,7,10,10,10,20,30,2.0,20,25,70,2.5,2.5
10.0,2,100.0,4.391348440991538,0.0,10000.0,10000.0,0.0,10578.549053270077,578.5490532700765,0.0,1,8,21,7,10,10,10,20,30,2.0,20,25,70,2.5,3.0
10.0,2,100.0,3.7915942002084257,0.0,10000.0,10000.0,0.0,10475.574211058398,475.5742110583974,0.0,1,8,21,7,10,10,10,20,30,2.0,20,25,75,2.5,2.5
10.0,2,100.0,4.391348440991538,0.0,10000.0,10000.0,0.0,10578.549053270077,578.5490532700765,0.0,1,8,21,7,10,10,10,20,30,2.0,20,25,75,2.5,3.0
10.0,2,100.0,3.7915942002084257,0.0,10000.0,10000.0,0.0,10475.574211058398,475.5742110583974,0.0,1,8,21,7,10,10,10,20,30,2.2,20,25,65,2.5,2.5
10.0,2,100.0,4.391348440991538,0.0,10000.0,10000.0,0.0,10578.549053270077,578.5490532700765,0.0,1,8,21,7,10,10,10,20,30,2.2,20,25,65,2.5,3.0
10.0,2,100.0,3.7915942002084257,0.0,10000.0,10000.0,0.0,10475.574211058398,475.5742110583974,0.0,1,8,21,7,10,10,10,20,30,2.2,20,25,70,2.5,2.5
10.0,2,100.0,4.391348440991538,0.0,10000.0,10000.0,0.0,10578.549053270077,578.5490532700765,0.0,1,8,21,7,10,10,10,20,30,2.2,20,25,70,2.5,3.0
10.0,2,100.0,3.7915942002084257,0.0,10000.0,10000.0,0.0,10475.574211058398,475.5742110583974,0.0,1,8,21,7,10,10,10,20,30,2.2,20,25,75,2.5,2.5
10.0,2,100.0,4.391348440991538,0.0,10000.0,10000.0,0.0,10578.549053270077,578.5490532700765,0.0,1,8,21,7,10,10,10,20,30,2.2,20,25,75,2.5,3.0
10.0,2,100.0,3.7915942002084257,0.0,10000.0,10000.0,0.0,10475.574211058398,475.5742110583974,0.0,1,8,21,7,10,10,10,20,40,1.8,20,25,65,2.5,2.5
10.0,2,100.0,4.391348440991538,0.0,10000.0,10000.0,0.0,10578.549053270077,578.5490532700765,0.0,1,8,21,7,10,10,10,20,40,1.8,20,25,65,2.5,3.0
10.0,2,100.0,3.7915942002084257,0.0,10000.0,10000.0,0.0,10475.574211058398,475.5742110583974,0.0,1,8,21,7,10,10,10,20,40,1.8,20,25,70,2.5,2.5
10.0,2,100.0,4.391348440991538,0.0,10000.0,10000.0,0.0,10578.549053270077,578.5490532700765,0.0,1,8,21,7,10,10,10,20,40,1.8,20,25,70,2.5,3.0
10.0,2,100.0,3.7915942002084257,0.0,10000.0,10000.0,0.0,10475.574211058398,475.5742110583974,0.0,1,8,21,7,10,10,10,20,40,1.8,20,25,75,2.5,2.5
10.0,2,100.0,4.391348440991538,0.0,10000.0,10000.0,0.0,10578.549053270077,578.5490532700765,0.0,1,8,21,7,10,10,10,20,40,1.8,20,25,75,2.5,3.0
10.0,2,100.0,3.7915942002084257,0.0,10000.0,10000.0,0.0,10475.574211058398,475.5742110583974,0.0,1,8,21,7,10,10,10,20,40,2.0,20,25,65,2.5,2.5
10.0,2,100.0,4.391348440991538,0.0,10000.0,10000.0,0.0,10578.549053270077,578.5490532700765,0.0,1,8,21,7,10,10,10,20,40,2.0,20,25,65,2.5,3.0
10.0,2,100.0,3.7915942002084257,0.0,10000.0,10000.0,0.0,10475.574211058398,475.5742110583974,0.0,1,8,21,7,10,10,10,20,40,2.0,20,25,70,2.5,2.5
10.0,2,100.0,4.391348440991538,0.0,10000.0,10000.0,0.0,10578.549053270077,578.5490532700765,0.0,1,8,21,7,10,10,10,20,40,2.0,20,25,70,2.5,3.0
10.0,2,100.0,3.7915942002084257,0.0,10000.0,10000.0,0.0,10475.574211058398,475.5742110583974,0.0,1,8,21,7,10,10,10,20,40,2.0,20,25,75,2.5,2.5
10.0,2,100.0,4.391348440991538,0.0,10000.0,10000.0,0.0,10578.549053270077,578.5490532700765,0.0,1,8,21,7,10,10,10,20,40,2.0,20,25,75,2.5,3.0
10.0,2,100.0,4.347113569100625,0.0,10000.0,10000.0,0.0,10572.683140035808,572.6831400358083,0.0,1,8,21,7,10,10,14,15,20,1.8,20,25,65,2.5,3.0
10.0,2,100.0,4.347113569100625,0.0,10000.0,10000.0,0.0,10572.683140035808,572.6831400358083,0.0,1,8,21,7,10,10,14,15,20,1.8,20,25,70,2.5,3.0
10.0,2,100.0,4.347113569100625,0.0,10000.0,10000.0,0.0,10572.683140035808,572.6831400358083,0.0,1,8,21,7,10,10,14,15,20,1.8,20,25,75,2.5,3.0
10.0,2,100.0,4.347113569100625,0.0,10000.0,10000.0,0.0,10572.683140035808,572.6831400358083,0.0,1,8,21,7,10,10,14,15,20,2.0,20,25,65,2.5,3.0
10.0,2,100.0,4.347113569100625,0.0,10000.0,10000.0,0.0,10572.683140035808,572.6831400358083,0.0,1,8,21,7,10,10,14,15,20,2.0,20,25,70,2.5,3.0
10.0,2,100.0,4.347113569100625,0.0,10000.0,10000.0,0.0,10572.683140035808,572.6831400358083,0.0,1,8,21,7,10,10,14,15,20,2.0,20,25,75,2.5,3.0
10.0,2,100.0,4.347113569100625,0.0,10000.0,10000.0,0.0,10572.683140035808,572.6831400358083,0.0,1,8,21,7,10,10,14,15,20,2.2,20,25,65,2.5,3.0
10.0,2,100.0,4.347113569100625,0.0,10000.0,10000.0,0.0,10572.683140035808,572.6831400358083,0.0,1,8,21,7,10,10,14,15,20,2.2,20,25,70,2.5,3.0
10.0,2,100.0,4.347113569100625,0.0,10000.0,10000.0,0.0,10572.683140035808,572.6831400358083,0.0,1,8,21,7,10,10,14,15,20,2.2,20,25,75,2.5,3.0
10.0,2,100.0,4.347113569100625,0.0,10000.0,10000.0,0.0,10572.683140035808,572.6831400358083,0.0,1,8,21,7,10,10,14,15,30,1.8,20,25,65,2.5,3.0
10.0,2,100.0,4.347113569100625,0.0,10000.0,10000.0,0.0,10572.683140035808,572.6831400358083,0.0,1,8,21,7,10,10,14,15,30,1.8,20,25,70,2.5,3.0
10.0,2,100.0,4.347113569100625,0.0,10000.0,10000.0,0.0,10572.683140035808,572.6831400358083,0.0,1,8,21,7,10,10,14,15,30,1.8,20,25,75,2.5,3.0
10.0,2,100.0,4.347113569100625,0.0,10000.0,10000.0,0.0,10572.683140035808,572.6831400358083,0.0,1,8,21,7,10,10,14,15,30,2.0,20,25,65,2.5,3.0
10.0,2,100.0,4.347113569100625,0.0,10000.0,10000.0,0.0,10572.683140035808,572.6831400358083,0.0,1,8,21,7,10,10,14,15,30,2.0,20,25,70,2.5,3.0
10.0,2,100.0,4.347113569100625,0.0,10000.0,10000.0,0.0,10572.683140035808,572.6831400358083,0.0,1,8,21,7,10,10,14,15,30,2.0,20,25,75,2.5,3.0
6.92378643728159,2,100.0,3.7527984383829427,0.0,10000.0,10000.0,0.0,10470.685950029841,470.68595002984057,0.0,1,8,21,7,10,10,14,15,20,1.8,20,25,65,2.5,2.5
6.92378643728159,2,100.0,3.7527984383829427,0.0,10000.0,10000.0,0.0,10470.685950029841,470.68595002984057,0.0,1,8,21,7,10,10,14,15,20,1.8,20,25,70,2.5,2.5
6.92378643728159,2,100.0,3.7527984383829427,0.0,10000.0,10000.0,0.0,10470.685950029841,470.68595002984057,0.0,1,8,21,7,10,10,14,15,20,1.8,20,25,75,2.5,2.5
6.92378643728159,2,100.0,3.7527984383829427,0.0,10000.0,10000.0,0.0,10470.685950029841,470.68595002984057,0.0,1,8,21,7,10,10,14,15,20,2.0,20,25,65,2.5,2.5
6.92378643728159,2,100.0,3.7527984383829427,0.0,10000.0,10000.0,0.0,10470.685950029841,470.68595002984057,0.0,1,8,21,7,10,10,14,15,20,2.0,20,25,70,2.5,2.5
6.92378643728159,2,100.0,3.7527984383829427,0.0,10000.0,10000.0,0.0,10470.685950029841,470.68595002984057,0.0,1,8,21,7,10,10,14,15,20,2.0,20,25,75,2.5,2.5
6.92378643728159,2,100.0,3.7527984383829427,0.0,10000.0,10000.0,0.0,10470.685950029841,470.68595002984057,0.0,1,8,21,7,10,10,14,15,20,2.2,20,25,65,2.5,2.5
6.92378643728159,2,100.0,3.7527984383829427,0.0,10000.0,10000.0,0.0,10470.685950029841,470.68595002984057,0.0,1,8,21,7,10,10,14,15,20,2.2,20,25,70,2.5,2.5
6.92378643728159,2,100.0,3.7527984383829427,0.0,10000.0,10000.0,0.0,10470.685950029841,470.68595002984057,0.0,1,8,21,7,10,10,14,15,20,2.2,20,25,75,2.5,2.5
6.92378643728159,2,100.0,3.7527984383829427,0.0,10000.0,10000.0,0.0,10470.685950029841,470.68595002984057,0.0,1,8,21,7,10,10,14,15,30,1.8,20,25,65,2.5,2.5
