sharpe_ratio,total_trades,win_rate,cagr,max_drawdown,initial_capital,max_capital_used,additional_capital_required,final_capital,realized_pnl,avg_capital_utilization,max_concurrent_trades,macd.fast_period,macd.slow_period,macd.signal_period,support_resistance.support_period,support_resistance.resistance_period,atr.window,ema.period,bollinger_bands.length,bollinger_bands.std,rsi.length,rsi.oversold,rsi.overbought,risk_management.stop_loss_atr_multiplier,risk_management.take_profit_atr_multiplier
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,30,1.8,14,25,65,1.5,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,30,1.8,14,25,65,2.0,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,30,1.8,14,25,65,2.5,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,30,1.8,14,25,70,1.5,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,30,1.8,14,25,70,2.0,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,30,1.8,14,25,70,2.5,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,30,1.8,14,25,75,1.5,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,30,1.8,14,25,75,2.0,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,30,1.8,14,25,75,2.5,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,30,2.0,14,25,65,1.5,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,30,2.0,14,25,65,2.0,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,30,2.0,14,25,65,2.5,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,30,2.0,14,25,70,1.5,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,30,2.0,14,25,70,2.0,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,30,2.0,14,25,70,2.5,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,30,2.0,14,25,75,1.5,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,30,2.0,14,25,75,2.0,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,30,2.0,14,25,75,2.5,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,30,2.2,14,25,65,1.5,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,30,2.2,14,25,65,2.0,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,30,2.2,14,25,65,2.5,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,30,2.2,14,25,70,1.5,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,30,2.2,14,25,70,2.0,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,30,2.2,14,25,70,2.5,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,30,2.2,14,25,75,1.5,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,30,2.2,14,25,75,2.0,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,30,2.2,14,25,75,2.5,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,40,1.8,14,25,65,1.5,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,40,1.8,14,25,65,2.0,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,40,1.8,14,25,65,2.5,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,40,1.8,14,25,70,1.5,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,40,1.8,14,25,70,2.0,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,40,1.8,14,25,70,2.5,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,40,1.8,14,25,75,1.5,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,40,1.8,14,25,75,2.0,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,40,1.8,14,25,75,2.5,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,40,2.0,14,25,65,1.5,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,40,2.0,14,25,65,2.0,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,40,2.0,14,25,65,2.5,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,40,2.0,14,25,70,1.5,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,40,2.0,14,25,70,2.0,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,40,2.0,14,25,70,2.5,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,40,2.0,14,25,75,1.5,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,40,2.0,14,25,75,2.0,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,40,2.0,14,25,75,2.5,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,40,2.2,14,25,65,1.5,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,40,2.2,14,25,65,2.0,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,40,2.2,14,25,65,2.5,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,40,2.2,14,25,70,1.5,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,40,2.2,14,25,70,2.0,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,40,2.2,14,25,70,2.5,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,40,2.2,14,25,75,1.5,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,40,2.2,14,25,75,2.0,2.5
2.0828149343637645,4,100.0,4.283910183100814,0.0,1000000.0,1000000.0,0.0,1078496.1134701523,78496.11347015236,0.0,1,8,21,7,10,10,10,20,40,2.2,14,25,75,2.5,2.5
1.6661519858103113,4,100.0,3.5142094107898814,0.0,1000000.0,1000000.0,0.0,1063192.380776122,63192.38077612192,0.0,1,8,21,7,10,10,10,20,20,1.8,14,25,65,1.5,2.0
1.6661519858103113,4,100.0,3.5142094107898814,0.0,1000000.0,1000000.0,0.0,1063192.380776122,63192.38077612192,0.0,1,8,21,7,10,10,10,20,20,1.8,14,25,65,2.0,2.0
1.6661519858103113,4,100.0,3.5142094107898814,0.0,1000000.0,1000000.0,0.0,1063192.380776122,63192.38077612192,0.0,1,8,21,7,10,10,10,20,20,1.8,14,25,65,2.5,2.0
1.6661519858103113,4,100.0,3.5142094107898814,0.0,1000000.0,1000000.0,0.0,1063192.380776122,63192.38077612192,0.0,1,8,21,7,10,10,10,20,20,1.8,14,25,70,1.5,2.0
1.6661519858103113,4,100.0,3.5142094107898814,0.0,1000000.0,1000000.0,0.0,1063192.380776122,63192.38077612192,0.0,1,8,21,7,10,10,10,20,20,1.8,14,25,70,2.0,2.0
1.6661519858103113,4,100.0,3.5142094107898814,0.0,1000000.0,1000000.0,0.0,1063192.380776122,63192.38077612192,0.0,1,8,21,7,10,10,10,20,20,1.8,14,25,70,2.5,2.0
1.6661519858103113,4,100.0,3.5142094107898814,0.0,1000000.0,1000000.0,0.0,1063192.380776122,63192.38077612192,0.0,1,8,21,7,10,10,10,20,20,1.8,14,25,75,1.5,2.0
1.6661519858103113,4,100.0,3.5142094107898814,0.0,1000000.0,1000000.0,0.0,1063192.380776122,63192.38077612192,0.0,1,8,21,7,10,10,10,20,20,1.8,14,25,75,2.0,2.0
1.6661519858103113,4,100.0,3.5142094107898814,0.0,1000000.0,1000000.0,0.0,1063192.380776122,63192.38077612192,0.0,1,8,21,7,10,10,10,20,20,1.8,14,25,75,2.5,2.0
1.6661519858103113,4,100.0,3.5142094107898814,0.0,1000000.0,1000000.0,0.0,1063192.380776122,63192.38077612192,0.0,1,8,21,7,10,10,10,20,20,2.0,14,25,65,1.5,2.0
1.6661519858103113,4,100.0,3.5142094107898814,0.0,1000000.0,1000000.0,0.0,1063192.380776122,63192.38077612192,0.0,1,8,21,7,10,10,10,20,20,2.0,14,25,65,2.0,2.0
1.6661519858103113,4,100.0,3.5142094107898814,0.0,1000000.0,1000000.0,0.0,1063192.380776122,63192.38077612192,0.0,1,8,21,7,10,10,10,20,20,2.0,14,25,65,2.5,2.0
1.6661519858103113,4,100.0,3.5142094107898814,0.0,1000000.0,1000000.0,0.0,1063192.380776122,63192.38077612192,0.0,1,8,21,7,10,10,10,20,20,2.0,14,25,70,1.5,2.0
1.6661519858103113,4,100.0,3.5142094107898814,0.0,1000000.0,1000000.0,0.0,1063192.380776122,63192.38077612192,0.0,1,8,21,7,10,10,10,20,20,2.0,14,25,70,2.0,2.0
1.6661519858103113,4,100.0,3.5142094107898814,0.0,1000000.0,1000000.0,0.0,1063192.380776122,63192.38077612192,0.0,1,8,21,7,10,10,10,20,20,2.0,14,25,70,2.5,2.0
1.6661519858103113,4,100.0,3.5142094107898814,0.0,1000000.0,1000000.0,0.0,1063192.380776122,63192.38077612192,0.0,1,8,21,7,10,10,10,20,20,2.0,14,25,75,1.5,2.0
1.6661519858103113,4,100.0,3.5142094107898814,0.0,1000000.0,1000000.0,0.0,1063192.380776122,63192.38077612192,0.0,1,8,21,7,10,10,10,20,20,2.0,14,25,75,2.0,2.0
1.6661519858103113,4,100.0,3.5142094107898814,0.0,1000000.0,1000000.0,0.0,1063192.380776122,63192.38077612192,0.0,1,8,21,7,10,10,10,20,20,2.0,14,25,75,2.5,2.0
