sharpe_ratio,total_trades,win_rate,cagr,max_drawdown,initial_capital,max_capital_used,additional_capital_required,final_capital,realized_pnl,avg_capital_utilization,max_concurrent_trades,macd.fast_period,macd.slow_period,macd.signal_period,support_resistance.support_period,support_resistance.resistance_period,atr.window,ema.period,bollinger_bands.length,bollinger_bands.std,rsi.length,rsi.oversold,rsi.overbought,risk_management.stop_loss_atr_multiplier,risk_management.take_profit_atr_multiplier
8.29345788539651,2,100.0,2.249203634958863,0.0,10000.0,10000.0,0.0,10750.929850451019,750.9298504510189,0.0,1,8,21,7,10,10,14,15,20,2.2,20,30,65,2.5,3.0
8.29345788539651,2,100.0,2.249203634958863,0.0,10000.0,10000.0,0.0,10750.929850451019,750.9298504510189,0.0,1,8,21,7,10,10,14,15,20,2.2,20,30,70,2.5,3.0
8.29345788539651,2,100.0,2.249203634958863,0.0,10000.0,10000.0,0.0,10750.929850451019,750.9298504510189,0.0,1,8,21,7,10,10,14,15,20,2.2,20,30,75,2.5,3.0
7.258716954275852,2,100.0,2.260569042477889,0.0,10000.0,10000.0,0.0,10754.82045572594,754.8204557259401,0.0,1,8,21,7,10,10,10,10,20,2.2,20,30,65,2.0,3.0
7.258716954275852,2,100.0,2.260569042477889,0.0,10000.0,10000.0,0.0,10754.82045572594,754.8204557259401,0.0,1,8,21,7,10,10,10,10,20,2.2,20,30,65,2.5,3.0
7.258716954275852,2,100.0,2.260569042477889,0.0,10000.0,10000.0,0.0,10754.82045572594,754.8204557259401,0.0,1,8,21,7,10,10,10,10,20,2.2,20,30,70,2.0,3.0
7.258716954275852,2,100.0,2.260569042477889,0.0,10000.0,10000.0,0.0,10754.82045572594,754.8204557259401,0.0,1,8,21,7,10,10,10,10,20,2.2,20,30,70,2.5,3.0
7.258716954275852,2,100.0,2.260569042477889,0.0,10000.0,10000.0,0.0,10754.82045572594,754.8204557259401,0.0,1,8,21,7,10,10,10,10,20,2.2,20,30,75,2.0,3.0
7.258716954275852,2,100.0,2.260569042477889,0.0,10000.0,10000.0,0.0,10754.82045572594,754.8204557259401,0.0,1,8,21,7,10,10,10,10,20,2.2,20,30,75,2.5,3.0
7.258716954275852,2,100.0,2.260569042477889,0.0,10000.0,10000.0,0.0,10754.82045572594,754.8204557259401,0.0,1,8,21,7,10,10,10,15,20,2.2,20,30,65,2.0,3.0
7.258716954275852,2,100.0,2.260569042477889,0.0,10000.0,10000.0,0.0,10754.82045572594,754.8204557259401,0.0,1,8,21,7,10,10,10,15,20,2.2,20,30,65,2.5,3.0
7.258716954275852,2,100.0,2.260569042477889,0.0,10000.0,10000.0,0.0,10754.82045572594,754.8204557259401,0.0,1,8,21,7,10,10,10,15,20,2.2,20,30,70,2.0,3.0
7.258716954275852,2,100.0,2.260569042477889,0.0,10000.0,10000.0,0.0,10754.82045572594,754.8204557259401,0.0,1,8,21,7,10,10,10,15,20,2.2,20,30,70,2.5,3.0
7.258716954275852,2,100.0,2.260569042477889,0.0,10000.0,10000.0,0.0,10754.82045572594,754.8204557259401,0.0,1,8,21,7,10,10,10,15,20,2.2,20,30,75,2.0,3.0
7.258716954275852,2,100.0,2.260569042477889,0.0,10000.0,10000.0,0.0,10754.82045572594,754.8204557259401,0.0,1,8,21,7,10,10,10,15,20,2.2,20,30,75,2.5,3.0
7.258716954275852,2,100.0,2.260569042477889,0.0,10000.0,10000.0,0.0,10754.82045572594,754.8204557259401,0.0,1,8,21,7,10,10,10,20,20,2.2,20,30,65,2.0,3.0
7.258716954275852,2,100.0,2.260569042477889,0.0,10000.0,10000.0,0.0,10754.82045572594,754.8204557259401,0.0,1,8,21,7,10,10,10,20,20,2.2,20,30,65,2.5,3.0
7.258716954275852,2,100.0,2.260569042477889,0.0,10000.0,10000.0,0.0,10754.82045572594,754.8204557259401,0.0,1,8,21,7,10,10,10,20,20,2.2,20,30,70,2.0,3.0
