sharpe_ratio,total_trades,win_rate,cagr,max_drawdown,initial_capital,max_capital_used,additional_capital_required,final_capital,realized_pnl,avg_capital_utilization,max_concurrent_trades,macd.fast_period,macd.slow_period,macd.signal_period,support_resistance.support_period,support_resistance.resistance_period,atr.window,ema.period,bollinger_bands.length,bollinger_bands.std,rsi.length,rsi.oversold,rsi.overbought,risk_management.stop_loss_atr_multiplier,risk_management.take_profit_atr_multiplier
10.0,3,100.0,2.5263919441865124,0.0,10000.0,10000.0,0.0,11139.687436459919,1139.6874364599191,0.0,1,8,21,7,10,10,14,10,40,2.2,20,30,65,1.5,3.0
10.0,3,100.0,2.5263919441865124,0.0,10000.0,10000.0,0.0,11139.687436459919,1139.6874364599191,0.0,1,8,21,7,10,10,14,10,40,2.2,20,30,65,2.0,3.0
10.0,3,100.0,2.5263919441865124,0.0,10000.0,10000.0,0.0,11139.687436459919,1139.6874364599191,0.0,1,8,21,7,10,10,14,10,40,2.2,20,30,65,2.5,3.0
10.0,3,100.0,2.5263919441865124,0.0,10000.0,10000.0,0.0,11139.687436459919,1139.6874364599191,0.0,1,8,21,7,10,10,14,10,40,2.2,20,30,70,1.5,3.0
10.0,3,100.0,2.5263919441865124,0.0,10000.0,10000.0,0.0,11139.687436459919,1139.6874364599191,0.0,1,8,21,7,10,10,14,10,40,2.2,20,30,70,2.0,3.0
10.0,3,100.0,2.5263919441865124,0.0,10000.0,10000.0,0.0,11139.687436459919,1139.6874364599191,0.0,1,8,21,7,10,10,14,10,40,2.2,20,30,70,2.5,3.0
10.0,3,100.0,2.5263919441865124,0.0,10000.0,10000.0,0.0,11139.687436459919,1139.6874364599191,0.0,1,8,21,7,10,10,14,10,40,2.2,20,30,75,1.5,3.0
10.0,3,100.0,2.5263919441865124,0.0,10000.0,10000.0,0.0,11139.687436459919,1139.6874364599191,0.0,1,8,21,7,10,10,14,10,40,2.2,20,30,75,2.0,3.0
10.0,3,100.0,2.5263919441865124,0.0,10000.0,10000.0,0.0,11139.687436459919,1139.6874364599191,0.0,1,8,21,7,10,10,14,10,40,2.2,20,30,75,2.5,3.0
10.0,3,100.0,2.5263919441865124,0.0,10000.0,10000.0,0.0,11139.687436459919,1139.6874364599191,0.0,1,8,21,7,10,10,14,15,30,1.8,20,30,65,1.5,3.0
10.0,3,100.0,2.5263919441865124,0.0,10000.0,10000.0,0.0,11139.687436459919,1139.6874364599191,0.0,1,8,21,7,10,10,14,15,30,1.8,20,30,65,2.0,3.0
10.0,3,100.0,2.5263919441865124,0.0,10000.0,10000.0,0.0,11139.687436459919,1139.6874364599191,0.0,1,8,21,7,10,10,14,15,30,1.8,20,30,65,2.5,3.0
10.0,3,100.0,2.5263919441865124,0.0,10000.0,10000.0,0.0,11139.687436459919,1139.6874364599191,0.0,1,8,21,7,10,10,14,15,30,1.8,20,30,70,1.5,3.0
10.0,3,100.0,2.5263919441865124,0.0,10000.0,10000.0,0.0,11139.687436459919,1139.6874364599191,0.0,1,8,21,7,10,10,14,15,30,1.8,20,30,70,2.0,3.0
10.0,3,100.0,2.5263919441865124,0.0,10000.0,10000.0,0.0,11139.687436459919,1139.6874364599191,0.0,1,8,21,7,10,10,14,15,30,1.8,20,30,70,2.5,3.0
10.0,3,100.0,2.5263919441865124,0.0,10000.0,10000.0,0.0,11139.687436459919,1139.6874364599191,0.0,1,8,21,7,10,10,14,15,30,1.8,20,30,75,1.5,3.0
10.0,3,100.0,2.5263919441865124,0.0,10000.0,10000.0,0.0,11139.687436459919,1139.6874364599191,0.0,1,8,21,7,10,10,14,15,30,1.8,20,30,75,2.0,3.0
10.0,3,100.0,2.5263919441865124,0.0,10000.0,10000.0,0.0,11139.687436459919,1139.6874364599191,0.0,1,8,21,7,10,10,14,15,30,1.8,20,30,75,2.5,3.0
10.0,2,100.0,1.7584494537734807,0.0,10000.0,10000.0,0.0,10783.218810653914,783.2188106539145,0.0,1,8,21,7,10,10,14,15,30,2.0,20,30,65,1.5,3.0
10.0,2,100.0,1.7584494537734807,0.0,10000.0,10000.0,0.0,10783.218810653914,783.2188106539145,0.0,1,8,21,7,10,10,14,15,30,2.0,20,30,65,2.0,3.0
10.0,2,100.0,1.7584494537734807,0.0,10000.0,10000.0,0.0,10783.218810653914,783.2188106539145,0.0,1,8,21,7,10,10,14,15,30,2.0,20,30,65,2.5,3.0
10.0,2,100.0,1.7584494537734807,0.0,10000.0,10000.0,0.0,10783.218810653914,783.2188106539145,0.0,1,8,21,7,10,10,14,15,30,2.0,20,30,70,1.5,3.0
10.0,2,100.0,1.7584494537734807,0.0,10000.0,10000.0,0.0,10783.218810653914,783.2188106539145,0.0,1,8,21,7,10,10,14,15,30,2.0,20,30,70,2.0,3.0
10.0,2,100.0,1.7584494537734807,0.0,10000.0,10000.0,0.0,10783.218810653914,783.2188106539145,0.0,1,8,21,7,10,10,14,15,30,2.0,20,30,70,2.5,3.0
10.0,2,100.0,1.7584494537734807,0.0,10000.0,10000.0,0.0,10783.218810653914,783.2188106539145,0.0,1,8,21,7,10,10,14,15,30,2.0,20,30,75,1.5,3.0
10.0,2,100.0,1.7584494537734807,0.0,10000.0,10000.0,0.0,10783.218810653914,783.2188106539145,0.0,1,8,21,7,10,10,14,15,30,2.0,20,30,75,2.0,3.0
10.0,2,100.0,1.7584494537734807,0.0,10000.0,10000.0,0.0,10783.218810653914,783.2188106539145,0.0,1,8,21,7,10,10,14,15,30,2.0,20,30,75,2.5,3.0
9.10103432262021,4,100.0,3.462827512975042,0.0,10000.0,10000.0,0.0,11586.550893025846,1586.550893025845,0.0,1,8,21,7,10,10,14,10,30,1.8,14,25,65,1.5,3.0
9.10103432262021,4,100.0,3.462827512975042,0.0,10000.0,10000.0,0.0,11586.550893025846,1586.550893025845,0.0,1,8,21,7,10,10,14,10,30,1.8,14,25,65,2.0,3.0
9.10103432262021,4,100.0,3.462827512975042,0.0,10000.0,10000.0,0.0,11586.550893025846,1586.550893025845,0.0,1,8,21,7,10,10,14,10,30,1.8,14,25,65,2.5,3.0
9.10103432262021,4,100.0,3.462827512975042,0.0,10000.0,10000.0,0.0,11586.550893025846,1586.550893025845,0.0,1,8,21,7,10,10,14,10,30,1.8,14,25,70,1.5,3.0
9.10103432262021,4,100.0,3.462827512975042,0.0,10000.0,10000.0,0.0,11586.550893025846,1586.550893025845,0.0,1,8,21,7,10,10,14,10,30,1.8,14,25,70,2.0,3.0
9.10103432262021,4,100.0,3.462827512975042,0.0,10000.0,10000.0,0.0,11586.550893025846,1586.550893025845,0.0,1,8,21,7,10,10,14,10,30,1.8,14,25,70,2.5,3.0
9.10103432262021,4,100.0,3.462827512975042,0.0,10000.0,10000.0,0.0,11586.550893025846,1586.550893025845,0.0,1,8,21,7,10,10,14,10,30,1.8,14,25,75,1.5,3.0
9.10103432262021,4,100.0,3.462827512975042,0.0,10000.0,10000.0,0.0,11586.550893025846,1586.550893025845,0.0,1,8,21,7,10,10,14,10,30,1.8,14,25,75,2.0,3.0
9.10103432262021,4,100.0,3.462827512975042,0.0,10000.0,10000.0,0.0,11586.550893025846,1586.550893025845,0.0,1,8,21,7,10,10,14,10,30,1.8,14,25,75,2.5,3.0
9.10103432262021,4,100.0,3.462827512975042,0.0,10000.0,10000.0,0.0,11586.550893025846,1586.550893025845,0.0,1,8,21,7,10,10,14,10,40,2.2,14,25,65,1.5,3.0
9.10103432262021,4,100.0,3.462827512975042,0.0,10000.0,10000.0,0.0,11586.550893025846,1586.550893025845,0.0,1,8,21,7,10,10,14,10,40,2.2,14,25,65,2.0,3.0
9.10103432262021,4,100.0,3.462827512975042,0.0,10000.0,10000.0,0.0,11586.550893025846,1586.550893025845,0.0,1,8,21,7,10,10,14,10,40,2.2,14,25,65,2.5,3.0
9.10103432262021,4,100.0,3.462827512975042,0.0,10000.0,10000.0,0.0,11586.550893025846,1586.550893025845,0.0,1,8,21,7,10,10,14,10,40,2.2,14,25,70,1.5,3.0
9.10103432262021,4,100.0,3.462827512975042,0.0,10000.0,10000.0,0.0,11586.550893025846,1586.550893025845,0.0,1,8,21,7,10,10,14,10,40,2.2,14,25,70,2.0,3.0
9.10103432262021,4,100.0,3.462827512975042,0.0,10000.0,10000.0,0.0,11586.550893025846,1586.550893025845,0.0,1,8,21,7,10,10,14,10,40,2.2,14,25,70,2.5,3.0
9.10103432262021,4,100.0,3.462827512975042,0.0,10000.0,10000.0,0.0,11586.550893025846,1586.550893025845,0.0,1,8,21,7,10,10,14,10,40,2.2,14,25,75,1.5,3.0
9.10103432262021,4,100.0,3.462827512975042,0.0,10000.0,10000.0,0.0,11586.550893025846,1586.550893025845,0.0,1,8,21,7,10,10,14,10,40,2.2,14,25,75,2.0,3.0
9.10103432262021,4,100.0,3.462827512975042,0.0,10000.0,10000.0,0.0,11586.550893025846,1586.550893025845,0.0,1,8,21,7,10,10,14,10,40,2.2,14,25,75,2.5,3.0
9.10103432262021,4,100.0,3.462827512975042,0.0,10000.0,10000.0,0.0,11586.550893025846,1586.550893025845,0.0,1,8,21,7,10,10,14,15,30,1.8,14,25,65,1.5,3.0
9.10103432262021,4,100.0,3.462827512975042,0.0,10000.0,10000.0,0.0,11586.550893025846,1586.550893025845,0.0,1,8,21,7,10,10,14,15,30,1.8,14,25,65,2.0,3.0
9.10103432262021,4,100.0,3.462827512975042,0.0,10000.0,10000.0,0.0,11586.550893025846,1586.550893025845,0.0,1,8,21,7,10,10,14,15,30,1.8,14,25,65,2.5,3.0
9.10103432262021,4,100.0,3.462827512975042,0.0,10000.0,10000.0,0.0,11586.550893025846,1586.550893025845,0.0,1,8,21,7,10,10,14,15,30,1.8,14,25,70,1.5,3.0
9.10103432262021,4,100.0,3.462827512975042,0.0,10000.0,10000.0,0.0,11586.550893025846,1586.550893025845,0.0,1,8,21,7,10,10,14,15,30,1.8,14,25,70,2.0,3.0
9.10103432262021,4,100.0,3.462827512975042,0.0,10000.0,10000.0,0.0,11586.550893025846,1586.550893025845,0.0,1,8,21,7,10,10,14,15,30,1.8,14,25,70,2.5,3.0
9.10103432262021,4,100.0,3.462827512975042,0.0,10000.0,10000.0,0.0,11586.550893025846,1586.550893025845,0.0,1,8,21,7,10,10,14,15,30,1.8,14,25,75,1.5,3.0
9.10103432262021,4,100.0,3.462827512975042,0.0,10000.0,10000.0,0.0,11586.550893025846,1586.550893025845,0.0,1,8,21,7,10,10,14,15,30,1.8,14,25,75,2.0,3.0
9.10103432262021,4,100.0,3.462827512975042,0.0,10000.0,10000.0,0.0,11586.550893025846,1586.550893025845,0.0,1,8,21,7,10,10,14,15,30,1.8,14,25,75,2.5,3.0
8.943897697693563,4,100.0,3.039902845454434,0.0,10000.0,10000.0,0.0,11383.059077521537,1383.0590775215376,0.0,1,8,21,7,10,10,14,10,30,1.8,14,25,65,1.5,2.5
8.943897697693563,4,100.0,3.039902845454434,0.0,10000.0,10000.0,0.0,11383.059077521537,1383.0590775215376,0.0,1,8,21,7,10,10,14,10,30,1.8,14,25,65,2.0,2.5
8.943897697693563,4,100.0,3.039902845454434,0.0,10000.0,10000.0,0.0,11383.059077521537,1383.0590775215376,0.0,1,8,21,7,10,10,14,10,30,1.8,14,25,65,2.5,2.5
8.943897697693563,4,100.0,3.039902845454434,0.0,10000.0,10000.0,0.0,11383.059077521537,1383.0590775215376,0.0,1,8,21,7,10,10,14,10,30,1.8,14,25,70,1.5,2.5
8.943897697693563,4,100.0,3.039902845454434,0.0,10000.0,10000.0,0.0,11383.059077521537,1383.0590775215376,0.0,1,8,21,7,10,10,14,10,30,1.8,14,25,70,2.0,2.5
8.943897697693563,4,100.0,3.039902845454434,0.0,10000.0,10000.0,0.0,11383.059077521537,1383.0590775215376,0.0,1,8,21,7,10,10,14,10,30,1.8,14,25,70,2.5,2.5
8.943897697693563,4,100.0,3.039902845454434,0.0,10000.0,10000.0,0.0,11383.059077521537,1383.0590775215376,0.0,1,8,21,7,10,10,14,10,30,1.8,14,25,75,1.5,2.5
8.943897697693563,4,100.0,3.039902845454434,0.0,10000.0,10000.0,0.0,11383.059077521537,1383.0590775215376,0.0,1,8,21,7,10,10,14,10,30,1.8,14,25,75,2.0,2.5
8.943897697693563,4,100.0,3.039902845454434,0.0,10000.0,10000.0,0.0,11383.059077521537,1383.0590775215376,0.0,1,8,21,7,10,10,14,10,30,1.8,14,25,75,2.5,2.5
8.943897697693563,4,100.0,3.039902845454434,0.0,10000.0,10000.0,0.0,11383.059077521537,1383.0590775215376,0.0,1,8,21,7,10,10,14,10,40,2.2,14,25,65,1.5,2.5
8.943897697693563,4,100.0,3.039902845454434,0.0,10000.0,10000.0,0.0,11383.059077521537,1383.0590775215376,0.0,1,8,21,7,10,10,14,10,40,2.2,14,25,65,2.0,2.5
8.943897697693563,4,100.0,3.039902845454434,0.0,10000.0,10000.0,0.0,11383.059077521537,1383.0590775215376,0.0,1,8,21,7,10,10,14,10,40,2.2,14,25,65,2.5,2.5
8.943897697693563,4,100.0,3.039902845454434,0.0,10000.0,10000.0,0.0,11383.059077521537,1383.0590775215376,0.0,1,8,21,7,10,10,14,10,40,2.2,14,25,70,1.5,2.5
8.943897697693563,4,100.0,3.039902845454434,0.0,10000.0,10000.0,0.0,11383.059077521537,1383.0590775215376,0.0,1,8,21,7,10,10,14,10,40,2.2,14,25,70,2.0,2.5
8.943897697693563,4,100.0,3.039902845454434,0.0,10000.0,10000.0,0.0,11383.059077521537,1383.0590775215376,0.0,1,8,21,7,10,10,14,10,40,2.2,14,25,70,2.5,2.5
8.943897697693563,4,100.0,3.039902845454434,0.0,10000.0,10000.0,0.0,11383.059077521537,1383.0590775215376,0.0,1,8,21,7,10,10,14,10,40,2.2,14,25,75,1.5,2.5
8.943897697693563,4,100.0,3.039902845454434,0.0,10000.0,10000.0,0.0,11383.059077521537,1383.0590775215376,0.0,1,8,21,7,10,10,14,10,40,2.2,14,25,75,2.0,2.5
8.943897697693563,4,100.0,3.039902845454434,0.0,10000.0,10000.0,0.0,11383.059077521537,1383.0590775215376,0.0,1,8,21,7,10,10,14,10,40,2.2,14,25,75,2.5,2.5
8.943897697693563,4,100.0,3.039902845454434,0.0,10000.0,10000.0,0.0,11383.059077521537,1383.0590775215376,0.0,1,8,21,7,10,10,14,15,30,1.8,14,25,65,1.5,2.5
8.943897697693563,4,100.0,3.039902845454434,0.0,10000.0,10000.0,0.0,11383.059077521537,1383.0590775215376,0.0,1,8,21,7,10,10,14,15,30,1.8,14,25,65,2.0,2.5
8.943897697693563,4,100.0,3.039902845454434,0.0,10000.0,10000.0,0.0,11383.059077521537,1383.0590775215376,0.0,1,8,21,7,10,10,14,15,30,1.8,14,25,65,2.5,2.5
8.943897697693563,4,100.0,3.039902845454434,0.0,10000.0,10000.0,0.0,11383.059077521537,1383.0590775215376,0.0,1,8,21,7,10,10,14,15,30,1.8,14,25,70,1.5,2.5
8.943897697693563,4,100.0,3.039902845454434,0.0,10000.0,10000.0,0.0,11383.059077521537,1383.0590775215376,0.0,1,8,21,7,10,10,14,15,30,1.8,14,25,70,2.0,2.5
8.943897697693563,4,100.0,3.039902845454434,0.0,10000.0,10000.0,0.0,11383.059077521537,1383.0590775215376,0.0,1,8,21,7,10,10,14,15,30,1.8,14,25,70,2.5,2.5
8.943897697693563,4,100.0,3.039902845454434,0.0,10000.0,10000.0,0.0,11383.059077521537,1383.0590775215376,0.0,1,8,21,7,10,10,14,15,30,1.8,14,25,75,1.5,2.5
8.943897697693563,4,100.0,3.039902845454434,0.0,10000.0,10000.0,0.0,11383.059077521537,1383.0590775215376,0.0,1,8,21,7,10,10,14,15,30,1.8,14,25,75,2.0,2.5
8.943897697693563,4,100.0,3.039902845454434,0.0,10000.0,10000.0,0.0,11383.059077521537,1383.0590775215376,0.0,1,8,21,7,10,10,14,15,30,1.8,14,25,75,2.5,2.5
8.667210532116842,3,100.0,2.718121477247859,0.0,10000.0,10000.0,0.0,11230.082267219841,1230.0822672198403,0.0,1,8,21,7,10,10,14,10,30,2.0,14,25,65,1.5,3.0
8.667210532116842,3,100.0,2.718121477247859,0.0,10000.0,10000.0,0.0,11230.082267219841,1230.0822672198403,0.0,1,8,21,7,10,10,14,10,30,2.0,14,25,65,2.0,3.0
8.667210532116842,3,100.0,2.718121477247859,0.0,10000.0,10000.0,0.0,11230.082267219841,1230.0822672198403,0.0,1,8,21,7,10,10,14,10,30,2.0,14,25,65,2.5,3.0
8.667210532116842,3,100.0,2.718121477247859,0.0,10000.0,10000.0,0.0,11230.082267219841,1230.0822672198403,0.0,1,8,21,7,10,10,14,10,30,2.0,14,25,70,1.5,3.0
8.667210532116842,3,100.0,2.718121477247859,0.0,10000.0,10000.0,0.0,11230.082267219841,1230.0822672198403,0.0,1,8,21,7,10,10,14,10,30,2.0,14,25,70,2.0,3.0
8.667210532116842,3,100.0,2.718121477247859,0.0,10000.0,10000.0,0.0,11230.082267219841,1230.0822672198403,0.0,1,8,21,7,10,10,14,10,30,2.0,14,25,70,2.5,3.0
8.667210532116842,3,100.0,2.718121477247859,0.0,10000.0,10000.0,0.0,11230.082267219841,1230.0822672198403,0.0,1,8,21,7,10,10,14,10,30,2.0,14,25,75,1.5,3.0
8.667210532116842,3,100.0,2.718121477247859,0.0,10000.0,10000.0,0.0,11230.082267219841,1230.0822672198403,0.0,1,8,21,7,10,10,14,10,30,2.0,14,25,75,2.0,3.0
8.667210532116842,3,100.0,2.718121477247859,0.0,10000.0,10000.0,0.0,11230.082267219841,1230.0822672198403,0.0,1,8,21,7,10,10,14,10,30,2.0,14,25,75,2.5,3.0
8.667210532116842,3,100.0,2.718121477247859,0.0,10000.0,10000.0,0.0,11230.082267219841,1230.0822672198403,0.0,1,8,21,7,10,10,14,10,30,2.2,14,25,65,1.5,3.0
8.667210532116842,3,100.0,2.718121477247859,0.0,10000.0,10000.0,0.0,11230.082267219841,1230.0822672198403,0.0,1,8,21,7,10,10,14,10,30,2.2,14,25,65,2.0,3.0
8.667210532116842,3,100.0,2.718121477247859,0.0,10000.0,10000.0,0.0,11230.082267219841,1230.0822672198403,0.0,1,8,21,7,10,10,14,10,30,2.2,14,25,65,2.5,3.0
8.667210532116842,3,100.0,2.718121477247859,0.0,10000.0,10000.0,0.0,11230.082267219841,1230.0822672198403,0.0,1,8,21,7,10,10,14,10,30,2.2,14,25,70,1.5,3.0
8.667210532116842,3,100.0,2.718121477247859,0.0,10000.0,10000.0,0.0,11230.082267219841,1230.0822672198403,0.0,1,8,21,7,10,10,14,10,30,2.2,14,25,70,2.0,3.0
8.667210532116842,3,100.0,2.718121477247859,0.0,10000.0,10000.0,0.0,11230.082267219841,1230.0822672198403,0.0,1,8,21,7,10,10,14,10,30,2.2,14,25,70,2.5,3.0
8.667210532116842,3,100.0,2.718121477247859,0.0,10000.0,10000.0,0.0,11230.082267219841,1230.0822672198403,0.0,1,8,21,7,10,10,14,10,30,2.2,14,25,75,1.5,3.0
8.667210532116842,3,100.0,2.718121477247859,0.0,10000.0,10000.0,0.0,11230.082267219841,1230.0822672198403,0.0,1,8,21,7,10,10,14,10,30,2.2,14,25,75,2.0,3.0
8.667210532116842,3,100.0,2.718121477247859,0.0,10000.0,10000.0,0.0,11230.082267219841,1230.0822672198403,0.0,1,8,21,7,10,10,14,10,30,2.2,14,25,75,2.5,3.0
8.667210532116842,3,100.0,2.718121477247859,0.0,10000.0,10000.0,0.0,11230.082267219841,1230.0822672198403,0.0,1,8,21,7,10,10,14,15,30,2.0,14,25,65,1.5,3.0
8.667210532116842,3,100.0,2.718121477247859,0.0,10000.0,10000.0,0.0,11230.082267219841,1230.0822672198403,0.0,1,8,21,7,10,10,14,15,30,2.0,14,25,65,2.0,3.0
8.667210532116842,3,100.0,2.718121477247859,0.0,10000.0,10000.0,0.0,11230.082267219841,1230.0822672198403,0.0,1,8,21,7,10,10,14,15,30,2.0,14,25,65,2.5,3.0
8.667210532116842,3,100.0,2.718121477247859,0.0,10000.0,10000.0,0.0,11230.082267219841,1230.0822672198403,0.0,1,8,21,7,10,10,14,15,30,2.0,14,25,70,1.5,3.0
8.667210532116842,3,100.0,2.718121477247859,0.0,10000.0,10000.0,0.0,11230.082267219841,1230.0822672198403,0.0,1,8,21,7,10,10,14,15,30,2.0,14,25,70,2.0,3.0
8.667210532116842,3,100.0,2.718121477247859,0.0,10000.0,10000.0,0.0,11230.082267219841,1230.0822672198403,0.0,1,8,21,7,10,10,14,15,30,2.0,14,25,70,2.5,3.0
8.667210532116842,3,100.0,2.718121477247859,0.0,10000.0,10000.0,0.0,11230.082267219841,1230.0822672198403,0.0,1,8,21,7,10,10,14,15,30,2.0,14,25,75,1.5,3.0
8.667210532116842,3,100.0,2.718121477247859,0.0,10000.0,10000.0,0.0,11230.082267219841,1230.0822672198403,0.0,1,8,21,7,10,10,14,15,30,2.0,14,25,75,2.0,3.0
8.667210532116842,3,100.0,2.718121477247859,0.0,10000.0,10000.0,0.0,11230.082267219841,1230.0822672198403,0.0,1,8,21,7,10,10,14,15,30,2.0,14,25,75,2.5,3.0
7.886300763065207,3,100.0,2.2569986816064036,0.0,10000.0,10000.0,0.0,11013.622863716599,1013.6228637165993,0.0,1,8,21,7,10,10,14,10,30,1.8,20,30,65,1.5,2.5
7.886300763065207,3,100.0,2.2569986816064036,0.0,10000.0,10000.0,0.0,11013.622863716599,1013.6228637165993,0.0,1,8,21,7,10,10,14,10,30,1.8,20,30,65,2.0,2.5
7.886300763065207,3,100.0,2.2569986816064036,0.0,10000.0,10000.0,0.0,11013.622863716599,1013.6228637165993,0.0,1,8,21,7,10,10,14,10,30,1.8,20,30,65,2.5,2.5
7.886300763065207,3,100.0,2.2569986816064036,0.0,10000.0,10000.0,0.0,11013.622863716599,1013.6228637165993,0.0,1,8,21,7,10,10,14,10,30,1.8,20,30,70,1.5,2.5
7.886300763065207,3,100.0,2.2569986816064036,0.0,10000.0,10000.0,0.0,11013.622863716599,1013.6228637165993,0.0,1,8,21,7,10,10,14,10,30,1.8,20,30,70,2.0,2.5
7.886300763065207,3,100.0,2.2569986816064036,0.0,10000.0,10000.0,0.0,11013.622863716599,1013.6228637165993,0.0,1,8,21,7,10,10,14,10,30,1.8,20,30,70,2.5,2.5
